model,precision,agent,category,correct,total,accuracy
Qwen3.5-0.8B,BF16/FP16,Direct,Biology/Medicine,5,62,0.08064516129032258
Qwen3.5-0.8B,BF16/FP16,Direct,Chemistry,0,21,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Computer Science/AI,1,64,0.015625
Qwen3.5-0.8B,BF16/FP16,Direct,Engineering,0,10,0.0
Qwen3.5-0.8B,BF16/FP16,Direct,Humanities/Social Science,5,64,0.078125
Qwen3.5-0.8B,BF16/FP16,Direct,Math,4,216,0.018518518518518517
Qwen3.5-0.8B,BF16/FP16,Direct,Other,1,36,0.027777777777777776
Qwen3.5-0.8B,BF16/FP16,Direct,Physics,3,27,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,Feedback,Biology/Medicine,8,62,0.12903225806451613
Qwen3.5-0.8B,BF16/FP16,Feedback,Chemistry,0,21,0.0
Qwen3.5-0.8B,BF16/FP16,Feedback,Computer Science/AI,3,64,0.046875
Qwen3.5-0.8B,BF16/FP16,Feedback,Engineering,0,10,0.0
Qwen3.5-0.8B,BF16/FP16,Feedback,Humanities/Social Science,5,64,0.078125
Qwen3.5-0.8B,BF16/FP16,Feedback,Math,7,216,0.032407407407407406
Qwen3.5-0.8B,BF16/FP16,Feedback,Other,0,36,0.0
Qwen3.5-0.8B,BF16/FP16,Feedback,Physics,3,27,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,Tool,Biology/Medicine,5,62,0.08064516129032258
Qwen3.5-0.8B,BF16/FP16,Tool,Chemistry,0,21,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Computer Science/AI,3,64,0.046875
Qwen3.5-0.8B,BF16/FP16,Tool,Engineering,0,10,0.0
Qwen3.5-0.8B,BF16/FP16,Tool,Humanities/Social Science,4,64,0.0625
Qwen3.5-0.8B,BF16/FP16,Tool,Math,9,216,0.041666666666666664
Qwen3.5-0.8B,BF16/FP16,Tool,Other,1,36,0.027777777777777776
Qwen3.5-0.8B,BF16/FP16,Tool,Physics,3,27,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Biology/Medicine,7,62,0.11290322580645161
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Chemistry,0,21,0.0
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Computer Science/AI,1,64,0.015625
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Engineering,0,10,0.0
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Humanities/Social Science,7,64,0.109375
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Math,13,216,0.06018518518518518
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Other,4,36,0.1111111111111111
Qwen3.5-0.8B,BF16/FP16,Oracle Feedback,Physics,3,27,0.1111111111111111
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Biology/Medicine,8,62,0.12903225806451613
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Chemistry,0,21,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Computer Science/AI,2,64,0.03125
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Engineering,0,10,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Humanities/Social Science,4,64,0.0625
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Math,13,216,0.06018518518518518
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Other,4,36,0.1111111111111111
Qwen2.5-7B-Instruct,BF16/FP16,Direct,Physics,3,27,0.1111111111111111
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Biology/Medicine,7,62,0.11290322580645161
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Chemistry,0,21,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Computer Science/AI,1,64,0.015625
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Engineering,0,10,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Humanities/Social Science,3,64,0.046875
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Math,6,216,0.027777777777777776
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Other,2,36,0.05555555555555555
Qwen2.5-7B-Instruct,BF16/FP16,Feedback,Physics,0,27,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Biology/Medicine,8,62,0.12903225806451613
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Chemistry,0,21,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Computer Science/AI,5,64,0.078125
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Engineering,0,10,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Humanities/Social Science,4,64,0.0625
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Math,17,216,0.0787037037037037
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Other,4,36,0.1111111111111111
Qwen2.5-7B-Instruct,BF16/FP16,Tool,Physics,3,27,0.1111111111111111
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Biology/Medicine,11,62,0.1774193548387097
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Chemistry,0,21,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Computer Science/AI,7,64,0.109375
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Engineering,0,10,0.0
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Humanities/Social Science,11,64,0.171875
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Math,23,216,0.10648148148148148
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Other,5,36,0.1388888888888889
Qwen2.5-7B-Instruct,BF16/FP16,Oracle Feedback,Physics,5,27,0.18518518518518517
Qwen3.5-27B,NF4 4-bit,Direct,Biology/Medicine,4,62,0.06451612903225806
Qwen3.5-27B,NF4 4-bit,Direct,Chemistry,1,21,0.047619047619047616
Qwen3.5-27B,NF4 4-bit,Direct,Computer Science/AI,2,64,0.03125
Qwen3.5-27B,NF4 4-bit,Direct,Engineering,1,10,0.1
Qwen3.5-27B,NF4 4-bit,Direct,Humanities/Social Science,6,64,0.09375
Qwen3.5-27B,NF4 4-bit,Direct,Math,10,216,0.046296296296296294
Qwen3.5-27B,NF4 4-bit,Direct,Other,2,36,0.05555555555555555
Qwen3.5-27B,NF4 4-bit,Direct,Physics,1,27,0.037037037037037035
Qwen3.5-27B,NF4 4-bit,Feedback,Biology/Medicine,2,62,0.03225806451612903
Qwen3.5-27B,NF4 4-bit,Feedback,Chemistry,0,21,0.0
Qwen3.5-27B,NF4 4-bit,Feedback,Computer Science/AI,2,64,0.03125
Qwen3.5-27B,NF4 4-bit,Feedback,Engineering,0,10,0.0
